F_ID,F_name,F_address,F_city,F_zip,F_latitude,F_longitude
46818,Ocean Fire Company 1 Station 42,400 Arnold Avenue,Point Pleasant Beach,08742,40.09172838157944,-74.04641121677366
46983,Beachwood Fire Department Station 16,745 Beachwood Boulevard,Beachwood,08722,39.93039299958429,-74.19955399958968
49166,Brick Township Fire Department Breton Woods Fire Company Station 21,665 Mantoloking Road,Brick,08723,40.04713399954534,-74.11556999962151
49332,Pioneer Hose Fire Company 1 Station 22,312 Drum Point Road,Brick,08723,40.04168699961224,-74.11264000045703
49333,Brick Township Fire Department Laurelton Fire Company 1 Station 23,1725 State Highway 88,Brick,08724,40.07072400049844,-74.13233200006796
49350,Dover Township Fire Department East Dover Fire Company 4 Station 28,629 Fischer Boulevard,Toms River,08753,39.958641000475005,-74.12476300048054
49351,Island Heights Volunteer Fire Company 1,15 Lake Avenue,Island Heights,08732,39.94596100013294,-74.15241200016092
49371,New Gretna Volunteer Fire Company,5 North Maple Avenue,Tuckerton,08087,39.59335002802245,-74.45159644918148
49378,Brick Township Fire Department Laurelton Fire Company 1 Substation 23 - 1,765 Midstreams Road,Brick,08724,40.06190900014169,-74.09239200043451
50151,Mantoloking Borough Fire Company 1 Station 35,202 Downer Avenue,Mantoloking,08738,40.037196999794965,-74.05158199959511
50152,Dover Township Fire Department Ocean Beach Fire Company 3 Station 27,40 Kittiwake Avenue,Lavallette,08735,39.98801000006855,-74.06358299948374
50294,Silverton Volunteer Fire Company 1,15 Kettle Creek Road,Toms River,08753,40.01535399957638,-74.14385200046836
50957,Lakewood Fire Department Station 67 Reliance Hose Company 4,300 River Avenue,Lakewood,08701,40.0790790002525,-74.21685000025589
50958,Pine Beach Volunteer Fire Company 1 Station 38,525 Prospect Avenue,Pine Beach,08741,39.93611099968681,-74.1691359996714
50959,Ocean Gate Volunteer Fire Company 1 Station 37,33 East Arverne Avenue,Ocean Gate,08740,39.924255971290485,-74.13919529054378
50978,Lavallette Volunteer Fire Company 1 Station 69,125 Washington Avenue,Lavallette,08735,39.969432546090374,-74.0722994553283
51148,Herbertsville Fire Company 1 Station 24,601 Herbertsville Road,Brick,08724,40.11119499997159,-74.10750599978707
51357,Lakewood Township Fire Department Station 66,976 New Hampshire Avenue,Lakewood,08701,40.05357843758817,-74.19665047152112
51358,Lakewood Township Fire Department Station 65,1350 Lanes Mill Road,Lakewood,08701,40.10064299985987,-74.17076900046817
51359,Manitou Park Volunteer Fire Company Station 18,110 3rd Avenue,Toms River,08757,39.945942772948555,-74.21536608883697
51451,Lakewood Fire Department Engine Company 1 Station,119 1st Street,Lakewood,08701,40.09188499985376,-74.21111300023557
