P_ID,P_name,P_address,P_city,ori,agency_name,aggravated-assault,arson,burglary,homicide,human-trafficing,larceny,motor-vehicle-theft,property-crime,rape,rape-legacy,robbery,violent-crime,case_number,P_zip,P_latitude,P_longitude
14069,BOROUGH OF PINE BEACH POLICE DEPARTMENT,599 PENNSYLVANIA AVENUE,PINE BEACH,NJ0152200,PINE BEACH POLICE DEPARTMENT,2,0,9,0,0,78,0,87,1,0,1,4,178,08741,39.933579385,-74.1698491929999
14070,LITTLE EGG HARBOR TOWNSHIP POLICE DEPARTMENT,665 RADIO ROAD,LITTLE EGG HARBOR,NJ0151600,LITTLE EGG HARBOR TOWNSHIP POLICE DEPARTMENT,53,11,249,1,0,997,29,1275,26,0,9,89,2650,08087,39.5761797920001,-74.3636304679999
14103,SEASIDE HEIGHTS POLICE DEPARTMENT,116 SHERMAN AVENUE,SEASIDE HEIGHTS,NJ0152600,SEASIDE HEIGHTS POLICE DEPARTMENT,108,1,149,1,0,693,15,857,2,0,27,138,1853,08751,39.9437372,-74.0737397999999
19276,LONG BEACH TOWNSHIP POLICE DEPARTMENT,6805 LONG BEACH BOULEVARD,BRANT BEACH,NJ0151700,LONG BEACH TOWNSHIP POLICE DEPARTMENT,20,1,63,0,0,340,5,408,6,0,0,26,843,08008,39.6158931000001,-74.1994831
19277,LAKEHURST POLICE DEPARTMENT,5 UNION AVENUE,LAKEHURST,NJ0151300,LAKEHURST POLICE DEPARTMENT,11,0,13,0,0,114,6,133,0,0,6,17,283,08733,40.0125713,-74.3099233
19288,TOMS RIVER POLICE DEPARTMENT,255 OAK AVENUE,TOMS RIVER,NJ0150700,TOMS RIVER TOWNSHIP POLICE DEPARTMENT,152,23,1019,3,0,6888,189,8096,44,0,113,312,16527,08753,39.9873247,-74.1845878
19311,OCEAN TOWNSHIP POLICE DEPARTMENT,50 RAILROAD AVENUE,WARETOWN,NJ0152000,"OCEAN TOWNSHIP, OCEAN COUNTY POLICE DEPARTMENT",7,0,31,0,0,244,5,280,1,0,1,9,569,08758,39.7904972000001,-74.197807
19567,SHIP BOTTOM POLICE DEPARTMENT,1621 LONG BEACH BOULEVARD,SHIP BOTTOM,NJ0152800,SHIP BOTTOM POLICE DEPARTMENT,2,0,13,0,0,101,0,114,0,0,0,2,230,08008,39.644869,-74.1800407
19585,SEASIDE PARK BOROUGH POLICE DEPARTMENT,6TH AVENUE AND CENTRAL AVENUE,SEASIDE PARK,NJ0152700,SEASIDE PARK POLICE DEPARTMENT,4,1,30,0,0,112,4,146,1,0,4,9,302,08752,39.9187315,-74.0790876999999
21138,POINT PLEASANT BEACH POLICE DEPARTMENT,416 NEW JERSEY AVENUE,POINT PLEASANT BEACH,NJ0152500,POINT PLEASANT BEACH POLICE DEPARTMENT,9,1,60,1,0,368,17,445,1,0,4,15,906,08742,40.0869543000001,-74.0469075
19276,BARNEGAT LIGHT POLICE DEPARTMENT,6805 LONG BEACH BOULEVARD,BRANT BEACH,NJ0150100,BARNEGAT LIGHT POLICE DEPARTMENT,1,0,9,1,0,27,0,36,1,0,0,3,75,08008,39.6158931000001,-74.1994831
