property_id,price,beds,baths,size(sqft),line,city,state,zipcode,longitude,latitude,days_ago,features
M9569108532,649900,5,4,2600,122 Hancock Ave,Seaside Heights,NJ,8751,-74.073775,39.944975,46,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9737354884,649900,6,3,3400,659 Dave Marion Rd,Toms River,NJ,8753,-74.172225,39.964704,98,"basement, garage_2_or_more, two_or_more_stories"
M5846700776,649900,3,3,2887,45 White Oak Ln,Tuckerton,NJ,8087,-74.323058,39.634591,24,"basement, garage_1_or_more, garage_2_or_more, single_story"
M5744955153,649900,5,3,3092,22 Chiswick Ct,Jackson,NJ,8527,-74.283199,40.139526,9,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6881170812,649900,3,2,1800,1258 Capstan Dr,Forked River,NJ,8731,-74.149895,39.84492,21,"garage_1_or_more, garage_2_or_more, single_story"
M6398834570,649900,4,3,3035,1226 Steeplechase Ct,Toms River,NJ,8755,-74.204862,40.004286,21,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9646697815,649900,4,3,2400,506 Bay Blvd,Seaside Heights,NJ,8751,-74.079105,39.941411,24,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9147692872,649900,5,4,3100,261 James St,Lakewood,NJ,8701,-74.232434,40.079476,53,"basement, two_or_more_stories"
M5470591729,649950,4,2,2200,3127 Creek Rd,Toms River,NJ,8753,-74.122634,39.958625,11,"basement, single_story"
M5286415034,649999,4,3,3176,509 Railroad Dr,Tuckerton,NJ,8087,-74.328274,39.621282,8,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6519689243,650000,5,5,3875,924 Lincoln Ave,Pine Beach,NJ,8741,-74.159484,39.936862,16,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5337448923,650000,4,4,3377,28 Cattus St,Toms River,NJ,8753,-74.122602,40.002384,36,"garage_1_or_more, two_or_more_stories"
M5583922351,650000,4,3,3253,29 Greenwich Dr,Jackson,NJ,8527,-74.385385,40.1457,24,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5393672714,650000,4,3,3300,3 Swallow Tail Ct,Jackson,NJ,8527,-74.309706,40.095881,85,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6852122972,650000,4,3,2600,20 Stoneham Dr,Brick,NJ,8724,-74.108907,40.061446,17,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5017386081,650000,3,2,1902,18 Haines Cove Dr,Toms River,NJ,8753,-74.178393,39.946785,8,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6164542703,650000,4,4,4435,233 Kristine Ave,Manahawkin,NJ,8050,-74.244283,39.722807,10,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6624674404,650000,5,4,2980,52 Delmar Dr,Brick,NJ,8723,-74.102743,40.030551,64,"garage_1_or_more, two_or_more_stories"
M9796053286,650000,5,4,3005,30 Imperial Pl N,Jackson,NJ,8527,-74.311437,40.096013,175,"basement, garage_1_or_more, two_or_more_stories"
M6059631737,650000,3,2,2384,1416 Willow Ct,Lakewood,NJ,8701,-74.239309,40.105626,46,"basement, garage_1_or_more, two_or_more_stories"
M6846023586,650000,7,5,3862,178 Ocean Ave,Island Heights,NJ,8732,-74.142645,39.940844,52,"basement, two_or_more_stories"
M5646840041,655900,4,2,1100,14 E Bay Way,Lavallette,NJ,8735,-74.064779,39.981335,38,two_or_more_stories
M6836179447,659000,4,4,2550,2320 Forest Cir,Toms River,NJ,8755,-74.244026,40.046767,12,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5034792425,659900,4,3,2800,34 Farragut Dr,Brick,NJ,8723,-74.104392,40.020495,159,"garage_1_or_more, two_or_more_stories"
M5279226039,665900,4,3,2546,902 Bowsprit Pt,Lanoka Harbor,NJ,8734,-74.147928,39.86145,15,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9399591139,669000,2,2,1269,510 N Bay Ave Unit 2-3,Beach Haven,NJ,8008,-74.238112,39.567046,29,"basement, garage_1_or_more, two_or_more_stories"
M9683700778,669000,2,2,1269,510 N Bay Ave Unit 2-7,Beach Haven,NJ,8008,-74.238112,39.567046,51,"basement, garage_1_or_more, two_or_more_stories"
M5536800010,669000,5,3,2968,1562 Priscilla Ct,Toms River,NJ,8753,-74.193138,40.006846,71,"basement, garage_2_or_more"
M9580088313,669900,5,3,3211,159 Law-Win Ct,Brick,NJ,8723,-74.109994,40.045085,41,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9167325678,669900,4,4,2608,21 Maple St,Toms River,NJ,8753,-74.170725,39.949762,28,"basement, garage_2_or_more"
M6868929912,669900,4,3,1092,4 Patrick Dr,Manahawkin,NJ,8050,-74.226143,39.657884,65,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6846700915,670000,7,5,4000,1107 NW Central Ave,Seaside Park,NJ,8752,-74.077426,39.931373,22,two_or_more_stories
M9173577657,674900,5,4,2600,124 Hancock Ave,Seaside Heights,NJ,8751,-74.073867,39.944985,39,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6866843020,674900,5,4,4266,1759 Todd Rd,Toms River,NJ,8755,-74.187213,40.017305,16,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5174226722,675000,2,2,800,9 Pearl St Unit 2C,Beach Haven,NJ,8008,-74.23801,39.559695,14,"basement, single_story"
M5368665004,675000,4,2,2900,1053 Bayview Ave,Bayville,NJ,8721,-74.14455,39.884754,27,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5962248829,675000,5,4,2827,9 Sands Point Rd,Waretown,NJ,8758,-74.178077,39.806854,15,"garage_1_or_more, two_or_more_stories"
M9533080427,679000,2,2,1269,510 N Bay Ave Unit 203,Beach Haven,NJ,8008,-74.238112,39.567046,28,"garage_1_or_more, single_story"
M9406569178,679000,2,2,1269,510 N Bay Ave Unit 207,Beach Haven,NJ,8008,-74.238112,39.567046,28,"garage_1_or_more, single_story"
M5858879706,679000,3,2,1218,39 E Swordfish Way,Lavallette,NJ,8735,-74.064168,39.990624,35,single_story
M9422076757,679900,5,4,3100,263 James St,Lakewood,NJ,8701,-74.233388,40.079875,60,"basement, two_or_more_stories"
M5088346150,679900,4,4,2200,126 Hiering Ave,Seaside Heights,NJ,8751,-74.07367,39.948544,29,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5946082012,680000,5,4,2276,1595 Salem St,Lakewood,NJ,8701,-74.197138,40.055755,16,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6890767755,680000,3,3,1694,2136 Mill Creek Rd,Manahawkin,NJ,8050,-74.22111,39.657834,11,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M9185604001,682000,5,4,3385,1683 Saint Regis Ct,Toms River,NJ,8755,-74.207825,40.010227,155,"basement, garage_2_or_more, two_or_more_stories"
M6439235222,687000,4,3,3000,843 Wave Dr,Forked River,NJ,8731,-74.153295,39.838326,25,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6616290606,689000,6,4,3318,235 Kristi Shay Ln,Brick,NJ,8723,-74.122146,40.04166,37,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M6863471046,689000,2,2,845,225 Gull Ln,Lavallette,NJ,8735,-74.069902,39.986799,16,single_story
M5712938634,689000,3,2,1814,1782 Mill Creek Rd,Manahawkin,NJ,8050,-74.218757,39.648715,16,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
